iter	Passed	Remaining
452	1093	1320
453	1099	1322
454	1102	1320
455	1105	1318
456	1107	1316
457	1109	1312
458	1115	1314
459	1116	1311
460	1118	1308
461	1121	1305
462	1123	1302
463	1125	1299
464	1128	1298
465	1130	1295
466	1132	1292
467	1134	1289
468	1135	1285
469	1137	1282
470	1138	1279
471	1141	1276
472	1143	1274
473	1145	1270
474	1146	1267
475	1148	1264
476	1149	1260
477	1151	1257
478	1153	1254
479	1156	1252
480	1159	1250
481	1160	1247
482	1162	1244
483	1164	1241
484	1166	1238
485	1167	1235
486	1171	1233
487	1174	1231
488	1175	1228
489	1177	1225
490	1179	1222
491	1180	1219
492	1182	1216
493	1184	1212
494	1188	1212
495	1189	1209
496	1191	1206
497	1193	1203
498	1195	1200
499	1197	1197
500	1199	1194
501	1202	1192
502	1203	1189
503	1205	1186
504	1206	1183
505	1208	1180
506	1210	1177
507	1212	1174
508	1216	1173
509	1217	1170
510	1219	1166
511	1220	1163
512	1222	1160
513	1224	1157
514	1225	1154
515	1227	1150
516	1230	1149
517	1232	1146
518	1233	1143
519	1235	1140
520	1236	1137
521	1238	1134
522	1239	1130
523	1241	1127
524	1242	1124
525	1246	1123
526	1247	1119
527	1249	1116
528	1250	1113
529	1252	1110
530	1253	1107
531	1255	1104
532	1256	1100
533	1260	1099
534	1261	1096
535	1263	1093
536	1264	1090
537	1266	1087
538	1267	1084
539	1269	1081
540	1270	1077
541	1271	1074
542	1276	1074
543	1277	1070
544	1279	1068
545	1281	1065
546	1282	1062
547	1284	1059
548	1286	1057
549	1290	1055
550	1292	1052
551	1293	1050
552	1295	1047
553	1297	1044
554	1298	1041
555	1300	1038
556	1305	1038
557	1306	1035
558	1307	1031
559	1309	1028
560	1310	1025
561	1312	1022
562	1313	1019
563	1315	1016
564	1318	1015
565	1320	1012
566	1322	1009
567	1323	1006
568	1325	1003
569	1326	1000
570	1327	997
571	1329	994
572	1331	991
573	1334	990
574	1336	987
575	1337	984
576	1339	981
577	1340	978
578	1342	975
579	1343	973
580	1345	970
581	1346	967
582	1350	966
583	1352	963
584	1353	960
585	1354	957
586	1356	954
587	1357	951
588	1359	948
589	1360	945
590	1366	945
591	1367	942
592	1369	939
593	1370	937
594	1372	934
595	1373	931
596	1375	928
597	1377	925
598	1380	924
599	1382	921
600	1384	918
601	1385	916
602	1387	913
603	1389	910
604	1390	907
605	1394	906
606	1396	903
607	1397	900
608	1398	898
609	1400	895
610	1401	892
611	1402	889
612	1404	886
613	1405	883
614	1410	882
615	1411	879
616	1412	877
617	1414	874
618	1415	871
619	1417	868
620	1418	865
621	1419	862
622	1423	861
623	1425	858
624	1426	855
625	1428	853
626	1429	850
627	1430	847
628	1432	845
629	1434	842
630	1435	839
631	1439	838
632	1440	835
633	1442	832
634	1443	829
635	1445	827
636	1446	824
637	1448	821
638	1449	818
639	1452	817
640	1455	814
641	1456	812
642	1457	809
643	1459	806
644	1460	804
645	1462	801
646	1463	798
647	1465	796
648	1469	794
649	1471	792
650	1472	789
651	1474	787
652	1476	784
653	1478	782
654	1480	779
655	1484	778
656	1485	775
657	1487	772
658	1488	770
659	1489	767
660	1491	764
661	1492	762
662	1494	759
663	1495	756
664	1499	755
665	1500	752
666	1502	749
667	1503	747
668	1504	744
669	1506	741
670	1507	739
671	1508	736
672	1511	734
673	1513	731
674	1514	729
675	1515	726
676	1517	723
677	1518	721
678	1519	718
679	1521	715
680	1526	715
681	1528	712
682	1530	710
683	1532	707
684	1534	705
685	1535	702
686	1537	700
687	1541	699
688	1543	696
689	1545	694
690	1547	691
691	1549	689
692	1551	687
693	1558	687
694	1560	684
695	1563	682
696	1566	681
697	1571	679
698	1573	677
699	1575	675
700	1576	672
701	1578	670
702	1580	667
703	1581	665
704	1586	663
705	1587	661
706	1589	658
707	1590	656
708	1592	653
709	1594	651
710	1596	648
711	1598	646
712	1601	644
713	1603	642
714	1604	639
715	1606	637
716	1607	634
717	1609	631
718	1610	629
719	1612	626
720	1613	624
721	1616	622
722	1618	619
723	1619	617
724	1620	614
725	1622	612
726	1623	609
727	1625	607
728	1626	604
729	1627	602
730	1631	600
731	1632	597
732	1634	595
733	1635	592
734	1637	590
735	1639	588
736	1641	585
737	1642	583
738	1645	581
739	1647	578
740	1649	576
741	1650	574
742	1652	571
743	1654	569
744	1655	566
745	1657	564
746	1661	562
747	1664	560
748	1666	558
749	1668	556
750	1670	553
751	1673	551
752	1677	550
753	1680	548
754	1682	545
755	1685	543
756	1687	541
757	1692	540
758	1695	538
759	1697	536
760	1699	533
761	1703	532
762	1706	529
763	1708	527
764	1710	525
765	1714	523
766	1719	522
767	1722	520
768	1725	518
769	1727	515
770	1729	513
771	1731	511
772	1736	509
773	1738	507
774	1741	505
775	1744	503
776	1750	502
777	1753	500
778	1755	498
779	1758	495
780	1759	493
781	1761	491
782	1762	488
783	1765	486
784	1767	484
785	1768	481
786	1769	479
787	1771	476
788	1772	474
789	1774	471
790	1776	469
791	1777	466
792	1779	464
793	1780	462
794	1782	459
795	1783	457
796	1785	454
797	1788	452
798	1790	450
799	1800	450
800	1802	447
801	1804	445
802	1806	443
803	1810	441
804	1811	438
805	1813	436
806	1814	434
807	1816	431
808	1818	429
809	1820	426
810	1822	424
811	1824	422
812	1826	420
813	1828	417
814	1829	415
815	1831	413
816	1833	410
817	1835	408
818	1838	406
819	1840	403
820	1841	401
821	1843	399
822	1844	396
823	1846	394
824	1848	392
825	1850	389
826	1854	388
827	1856	385
828	1858	383
829	1859	380
830	1861	378
831	1862	376
832	1864	373
833	1865	371
834	1869	369
835	1871	367
836	1872	364
837	1873	362
838	1875	359
839	1876	357
840	1878	355
841	1880	352
842	1884	350
843	1885	348
844	1887	346
845	1888	343
846	1889	341
847	1891	339
848	1892	336
849	1894	334
850	1895	331
851	1898	329
852	1900	327
853	1901	325
854	1902	322
855	1904	320
856	1905	317
857	1907	315
858	1908	313
859	1909	310
860	1912	308
861	1914	306
862	1915	304
863	1917	301
864	1918	299
865	1920	297
866	1922	294
867	1923	292
868	1925	290
869	1929	288
870	1930	285
871	1932	283
872	1933	281
873	1935	278
874	1936	276
875	1938	274
876	1939	272
877	1940	269
878	1943	267
879	1944	265
880	1946	262
881	1947	260
882	1949	258
883	1950	255
884	1952	253
885	1953	251
886	1954	249
887	1957	246
888	1959	244
889	1960	242
890	1962	240
891	1963	237
892	1965	235
893	1966	233
894	1968	230
895	1969	228
896	1972	226
897	1974	224
898	1975	221
899	1976	219
900	1978	217
901	1979	215
902	1981	212
903	1982	210
904	1984	208
905	1985	206
906	1988	203
907	1989	201
908	1991	199
909	1992	197
910	1994	194
911	1995	192
912	1997	190
913	1998	188
914	2000	185
915	2001	183
916	2003	181
917	2005	179
918	2006	176
919	2007	174
920	2009	172
921	2010	170
922	2012	167
923	2013	165
924	2016	163
925	2017	161
926	2019	159
927	2021	156
928	2023	154
929	2024	152
930	2026	150
931	2027	147
932	2030	145
933	2032	143
934	2033	141
935	2035	139
936	2036	136
937	2037	134
938	2039	132
939	2040	130
940	2042	128
941	2045	125
942	2046	123
943	2048	121
944	2049	119
945	2051	117
946	2052	114
947	2054	112
948	2056	110
949	2057	108
950	2060	106
951	2061	103
952	2063	101
953	2065	99
954	2066	97
955	2068	95
956	2069	92
957	2070	90
958	2072	88
959	2075	86
960	2076	84
961	2078	82
962	2079	79
963	2081	77
964	2082	75
965	2083	73
966	2085	71
967	2086	68
968	2088	66
969	2091	64
970	2092	62
971	2093	60
972	2095	58
973	2097	55
974	2098	53
975	2100	51
976	2101	49
977	2103	47
978	2105	45
979	2107	43
980	2108	40
981	2110	38
982	2112	36
983	2114	34
984	2115	32
985	2116	30
986	2120	27
987	2121	25
988	2122	23
989	2124	21
990	2125	19
991	2127	17
992	2128	15
993	2130	12
994	2131	10
995	2134	8
996	2135	6
997	2137	4
998	2138	2
999	2140	0
